Date,Open,High,Low,Close,Adj Close,Volume,RSI
2016-01-05,720.0,780.0,715.0,780.0,620.69,126000.0,100.0
2016-01-06,720.0,725.0,716.0,716.0,569.76,209500.0,45.696969696969695
2016-01-07,720.0,720.0,720.0,720.0,572.94,127500.0,47.611765764145
2016-01-08,720.0,720.0,715.0,715.0,568.97,2000.0,45.45418513551899
2016-01-13,700.0,700.0,655.0,655.0,521.22,8500.0,27.069195465325308
2016-01-14,655.0,717.0,655.0,655.0,521.22,72500.0,27.069195465325308
2016-01-15,720.0,720.0,720.0,720.0,572.94,100000.0,51.64329778721928
2016-01-18,716.0,716.0,700.0,700.0,557.03,15000.0,46.45633722752615
2016-01-21,640.0,668.0,640.0,668.0,531.57,79000.0,38.69066277217838
2016-01-25,640.0,667.0,602.0,602.0,479.05,476500.0,27.639141059390212
2016-01-26,622.0,680.0,622.0,680.0,541.11,714500.0,46.931589309305934
2016-01-27,679.0,680.0,679.0,680.0,541.11,38500.0,46.931589309305934
2016-02-01,630.0,680.0,630.0,680.0,541.11,67500.0,46.93158930930594
2016-02-04,700.0,700.0,700.0,700.0,557.03,300000.0,52.39839235276826
2016-02-09,720.0,720.0,720.0,720.0,572.94,25000.0,57.47852480794064
2016-02-24,719.0,719.0,719.0,719.0,572.15,500.0,56.79373799182099
2016-03-07,719.0,719.0,719.0,719.0,572.15,1000.0,56.793737991821
2016-03-08,716.0,720.0,716.0,720.0,572.94,200500.0,57.77388904734536
2016-03-17,715.0,715.0,715.0,715.0,568.97,1000.0,49.08824670215101
2016-03-21,696.0,696.0,696.0,696.0,553.85,5500.0,32.658589019229666
2016-03-22,676.0,700.0,676.0,700.0,557.03,163500.0,37.36569068025569
2016-04-01,719.0,719.0,719.0,719.0,572.15,1000.0,59.79241180734086
2016-04-04,718.0,718.0,718.0,718.0,571.35,1000.0,58.60307468435483
2016-04-05,718.0,718.0,718.0,718.0,571.35,500.0,58.60307468435483
2016-04-06,718.0,718.0,718.0,718.0,571.35,3000.0,58.60307468435483
2016-04-07,712.0,712.0,712.0,712.0,566.58,500.0,51.00083603209553
2016-04-08,718.0,718.0,718.0,718.0,571.35,500.0,57.00707701137033
2016-04-21,680.0,680.0,680.0,680.0,541.11,500.0,22.688968868115154
2016-04-26,680.0,680.0,660.0,680.0,541.11,27500.0,22.68896886811514
2016-04-27,680.0,680.0,680.0,680.0,541.11,500.0,22.688968868115154
2016-04-29,674.0,674.0,674.0,674.0,536.34,500.0,19.759162892387053
2016-05-03,780.0,780.0,780.0,780.0,620.69,20000.0,77.99055505601385
2016-05-04,780.0,780.0,780.0,780.0,620.69,20000.0,77.99055505601385
2016-05-13,780.0,780.0,720.0,720.0,572.94,5000.0,47.53234197148158
2016-05-17,738.0,738.0,738.0,738.0,587.27,500.0,53.8087700602406
2016-05-18,738.0,738.0,738.0,738.0,587.27,1000.0,53.8087700602406
2016-05-20,680.0,680.0,680.0,680.0,541.11,10.0,36.32225626545812
2016-05-23,680.0,680.0,612.0,678.0,539.52,189500.0,35.889144520051204
2016-05-24,660.0,698.0,660.0,698.0,555.44,10500.0,43.18497937915993
2016-05-25,680.0,680.0,660.0,660.0,525.2,1000.0,35.02849230459867
2016-05-27,660.0,660.0,660.0,660.0,525.2,1500.0,35.02849230459867
2016-05-30,660.0,660.0,660.0,660.0,525.2,105000.0,35.02849230459867
2016-05-31,660.0,660.0,660.0,660.0,525.2,2500.0,35.02849230459867
2016-06-03,640.0,640.0,640.0,640.0,509.28,2000.0,30.01591379515655
2016-06-06,640.0,640.0,640.0,640.0,509.28,26500.0,30.01591379515655
2016-06-07,640.0,640.0,620.0,640.0,509.28,2000.0,30.01591379515655
2016-06-09,640.0,640.0,640.0,640.0,509.28,53000.0,30.01591379515655
2016-06-10,630.0,640.0,630.0,640.0,509.28,3000.0,30.01591379515655
2016-06-14,630.0,630.0,630.0,630.0,501.33,3000.0,26.79515100719422
2016-06-15,630.0,630.0,630.0,630.0,501.33,500.0,26.79515100719422
2016-06-16,630.0,660.0,630.0,630.0,501.33,40000.0,26.79515100719422
2016-06-20,630.0,700.0,630.0,700.0,557.03,316000.0,63.584842103484824
2016-06-21,684.0,684.0,664.0,664.0,528.38,154500.0,49.74016932223226
2016-06-22,678.0,678.0,678.0,678.0,539.52,1000.0,53.94027889739253
2016-06-23,678.0,678.0,664.0,664.0,533.42,1000.0,49.48666588166395
2016-06-24,600.0,640.0,600.0,600.0,482,798000.0,49.48666588166395
2016-06-27,600.0,620.0,598.0,616.0,494.86,1127500.0,54.812236348552
2016-06-29,616.0,616.0,616.0,616.0,494.86,1500.0,54.812236348552
2016-06-30,616.0,680.0,600.0,680.0,546.27,506000.0,70.40192891703174
2016-07-01,670.0,670.0,670.0,670.0,538.24,2000.0,66.53916001988306
2016-07-14,640.0,640.0,622.0,622.0,499.68,5500.0,49.134052104338735
2016-07-15,622.0,682.0,622.0,682.0,547.88,404500.0,62.38067338479139
2016-07-20,670.0,680.0,670.0,680.0,546.27,51000.0,61.71159416948601
2016-08-02,680.0,680.0,680.0,680.0,546.27,57500.0,61.71159416948602
